settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
27547710572	21.07.2026 18:28:59 UTC	25.07.2026 17:22:30 UTC	27.07.2026 17:22:30 UTC	3090.54	INR																		
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemPrice	Principal	636.44	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemPrice	Product Tax	114.56	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemTCS	TCS-SGST	-1.51	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemTCS	TCS-CGST	-1.51	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemTDS	TDS (Section 194-O)	-0.61	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemFees	Fixed closing fee	-45.00	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	ItemFees	Fixed closing fee IGST	-8.10	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	Promotion	Promo rebates	-31.83	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	PLM-609272bb-537d-4dd0-bd17-3c957956407d
27547710572						Order	171-9373329-9124328			DpbcfR3fJ	Amazon.in	Promotion	Product tax discount	-5.72	MFN	21.07.2026	21.07.2026 20:41:19 UTC	65221865340482			MCCowandcalf2	1	PLM-609272bb-537d-4dd0-bd17-3c957956407d
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemPrice	Principal	677.12	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemPrice	Product Tax	121.88	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemTCS	TCS-IGST	-3.39	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemTDS	TDS (Section 194-O)	-0.68	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemFees	Fixed closing fee	-45.00	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						Order	171-8030824-4795530			Drd3lH3VJ	Amazon.in	ItemFees	Fixed closing fee IGST	-8.10	MFN	22.07.2026	22.07.2026 07:25:59 UTC	65183061183282			NO-BN9N-71UT	1	
27547710572						other-transaction	171-8030824-4795530			Drd3lH3VJ	Amazon.in	other-transaction	Amazon Easy Ship Charges	-55.00	MFN	22.07.2026	22.07.2026 07:41:34 UTC						
27547710572						other-transaction	171-8030824-4795530			Drd3lH3VJ	Amazon.in	other-transaction	MFNPostagePurchaseCompleteIGST	-9.90	MFN	22.07.2026	22.07.2026 07:41:34 UTC						
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemPrice	Principal	636.44	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemPrice	Product Tax	114.56	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemTCS	TCS-SGST	-1.51	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemTCS	TCS-CGST	-1.51	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemTDS	TDS (Section 194-O)	-0.61	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemFees	Fixed closing fee	-45.00	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	ItemFees	Fixed closing fee IGST	-8.10	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	Promotion	Promo rebates	-31.83	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	PLM-609272bb-537d-4dd0-bd17-3c957956407d
27547710572						Order	404-9486650-6113164			DQXL0730J	Amazon.in	Promotion	Product tax discount	-5.72	MFN	22.07.2026	22.07.2026 11:51:58 UTC	65183885968402			MCCowandcalf2	1	PLM-609272bb-537d-4dd0-bd17-3c957956407d
27547710572						Order	171-4344342-3605130	171-4344342-3605130		T6v6vVr59	Amazon.in	ItemPrice	Principal	583.90	AFN	25.07.2026	25.07.2026 16:09:09 UTC	65360285710002			Murli Krishna Blue FBA	1	
27547710572						Order	171-4344342-3605130	171-4344342-3605130		T6v6vVr59	Amazon.in	ItemPrice	Product Tax	105.10	AFN	25.07.2026	25.07.2026 16:09:09 UTC	65360285710002			Murli Krishna Blue FBA	1	
27547710572						Order	171-4344342-3605130	171-4344342-3605130		T6v6vVr59	Amazon.in	ItemPrice	Shipping	33.90	AFN	25.07.2026	25.07.2026 16:09:09 UTC	65360285710002			Murli Krishna Blue FBA	1	
27547710572						Order	171-4344342-3605130	171-4344342-3605130		T6v6vVr59	Amazon.in	ItemPrice	Shipping tax	6.10	AFN	25.07.2026	25.07.2026 16:09:09 UTC	65360285710002			Murli Krishna Blue FBA	1	
27547710572						Order	171-4344342-3605130	171-4344342-3605130		T6v6vVr59	Amazon.in	ItemTCS	TCS-IGST	-2.92	AFN	25.07.2026	25.07.2026 16:09:09 UTC	65360285710002			Murli Krishna Blue FBA	1	
