settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
25749563492						Order	404-5086009-7969131	404-5086009-7969131		T1N5yT8Y4	Amazon.in	ItemTCS	TCS-IGST	-8.69	AFN	16.07.2026	16.07.2026 16:36:37 UTC	65097786765562			E4-1PV8-SSFN	1	
25749563492						Order	404-5086009-7969131	404-5086009-7969131		T1N5yT8Y4	Amazon.in	ItemFees	Commission	-112.75	AFN	16.07.2026	16.07.2026 16:36:37 UTC	65097786765562			E4-1PV8-SSFN	1	
25749563492						Order	404-5086009-7969131	404-5086009-7969131		T1N5yT8Y4	Amazon.in	ItemFees	Commission IGST	-20.30	AFN	16.07.2026	16.07.2026 16:36:37 UTC	65097786765562			E4-1PV8-SSFN	1	
25749563492						Order	404-5086009-7969131	404-5086009-7969131		T1N5yT8Y4	Amazon.in	Promotion	Shipping discount	-33.90	AFN	16.07.2026	16.07.2026 16:36:37 UTC	65097786765562			E4-1PV8-SSFN	1	
25749563492						Order	404-5086009-7969131	404-5086009-7969131		T1N5yT8Y4	Amazon.in	Promotion	Shipping tax discount	-6.10	AFN	16.07.2026	16.07.2026 16:36:37 UTC	65097786765562			E4-1PV8-SSFN	1	
25749563492						Order	403-1180384-5140339	403-1180384-5140339		TXnqdv4M4	Amazon.in	ItemPrice	Principal	1334.74	AFN	16.07.2026	16.07.2026 17:55:37 UTC	65170221290762			KN-T30E-VVY5	1	
25749563492						Order	403-1180384-5140339	403-1180384-5140339		TXnqdv4M4	Amazon.in	ItemPrice	Product Tax	240.26	AFN	16.07.2026	16.07.2026 17:55:37 UTC	65170221290762			KN-T30E-VVY5	1	
25749563492						Order	403-1180384-5140339	403-1180384-5140339		TXnqdv4M4	Amazon.in	ItemTCS	TCS-SGST	-3.34	AFN	16.07.2026	16.07.2026 17:55:37 UTC	65170221290762			KN-T30E-VVY5	1	
25749563492						Order	403-1180384-5140339	403-1180384-5140339		TXnqdv4M4	Amazon.in	ItemTCS	TCS-CGST	-3.34	AFN	16.07.2026	16.07.2026 17:55:37 UTC	65170221290762			KN-T30E-VVY5	1	
25749563492						Order	403-1180384-5140339	403-1180384-5140339		TXnqdv4M4	Amazon.in	ItemFees	Commission	-86.63	AFN	16.07.2026	16.07.2026 17:55:37 UTC	65170221290762			KN-T30E-VVY5	1	
